,product_name,price,url,location,bet_end_date,img_source,popularity,id,department,scraped_at
16,Freezers vertical,"R$ 1.000,00",https://www.superbid.net/oferta/freezers-vertical-2709966,São Paulo - SP / São Paulo,2023-04-10,https://ms.sbwebservices.net/photos/75c99797-0c1d-4564-bbe0-52f980630bb9.jpg?w=295&h=190&slice=true,64 Visitas,2709966,eletrodomesticos,2023-04-09 23:35
17,FREEZER METALFRIO VERTICAL MOD: VF 50 - TEMPERATURA -23C,"R$ 1.190,00",https://www.superbid.net/oferta/freezer-metalfrio-vertical-mod-vf-50-temperatura-23c-2712558,Americana - SP / São Paulo,2023-04-10,https://ms.sbwebservices.net/photos/5359c20a-3f3f-4a90-aaef-d10c43080870.jpg?w=295&h=190&slice=true,2 Participantes • 2 Lances,2712558,eletrodomesticos,2023-04-09 23:35
18,FREEZER METALFRIO VERTICAL MOD: VF 50 - TEMPERATURA de   -18°C a -22°C,"R$ 1.190,00",https://www.superbid.net/oferta/freezer-metalfrio-vertical-mod-vf-50-temperatura-de-18degc-a-22degc-2691706,Americana - SP / São Paulo,2023-04-10,https://ms.sbwebservices.net/photos/27f26b29-2c30-4a16-81f7-321c747dc5be.jpg?w=295&h=190&slice=true,2 Participantes • 2 Lances,2691706,eletrodomesticos,2023-04-09 23:35
19,LIXEIRAS DE PLÁSTICO DIVERSOS E CARRINHO P/ SERVIÇOS GERAIS (APROX. 84 PÇS) (Ref.: RBQ),"R$ 1.200,00",https://www.superbid.net/oferta/lixeiras-de-plastico-diversos-e-carrinho-p-servicos-gerais-aprox-84-pcs-ref-rbq-2707423,Santo Antônio dos Lopes - MA / Maranhão,2023-04-13,https://ms.sbwebservices.net/photos/057f721b-b163-4e5d-b6e5-a0d5371ea3ff.jpg?w=295&h=190&slice=true,70 Visitas,2707423,eletrodomesticos,2023-04-09 23:35
20,Equipamento de estética Endermologie,"R$ 1.200,00",https://www.superbid.net/oferta/equipamento-de-estetica-endermologie-2710007,São Paulo - SP / São Paulo,2023-04-10,https://ms.sbwebservices.net/photos/4cb8ef6c-5d1f-4357-9d7b-218ae221f7a0.jpg?w=295&h=190&slice=true,122 Visitas,2710007,eletrodomesticos,2023-04-09 23:35
21,4 Evaporadoras de ar condicionado  de (30.000 btu ),"R$ 1.200,00",https://www.superbid.net/oferta/4-evaporadoras-de-ar-condicionado-de-30-000-btu-2701390,São Paulo - SP / São Paulo,2023-04-10,https://ms.sbwebservices.net/photos/2d605d31-6d34-4898-8f58-ca3672aafd3c.jpg?w=295&h=190&slice=true,28 Visitas,2701390,eletrodomesticos,2023-04-09 23:35
22,"FRITADEIRA, LIQUIDIFICADOR, CAFETEIRA E OUTROS (CONFORME LISTA) (Ref.: 12975/12976/12977/12981)","R$ 1.300,00",https://www.superbid.net/oferta/fritadeira-liquidificador-cafeteira-e-outros-conforme-lista-ref-12975-12976-12977-12981-2707341,Embu das Artes - SP / São Paulo,2023-04-11,https://ms.sbwebservices.net/photos/dd736df2-e631-4130-bd9c-a899450189cb.jpg?w=295&h=190&slice=true,14 Participantes • 18 Lances,2707341,eletrodomesticos,2023-04-09 23:35
23,FREEZER METALFRIO VERTICAL MOD: VF 50 - TEMPERATURA de   -18°C a -22°C,"R$ 1.390,00",https://www.superbid.net/oferta/freezer-metalfrio-vertical-mod-vf-50-temperatura-de-18degc-a-22degc-2691707,Americana - SP / São Paulo,2023-04-10,https://ms.sbwebservices.net/photos/d65dff36-9fa9-4b94-820d-db4ea932d597.jpg?w=295&h=190&slice=true,2 Participantes • 2 Lances,2691707,eletrodomesticos,2023-04-09 23:35
24,Refrigerador De Bebidas basemetal - Eletrônico - 516 Litros,"R$ 1.500,00",https://www.superbid.net/oferta/refrigerador-de-bebidas-basemetal-eletronico-516-litros-2597780,Leme - SP / São Paulo,2023-04-17,https://ms.sbwebservices.net/photos/1c40f88f-4001-46fe-bf2c-5a0392bf91f0.jpg?w=295&h=190&slice=true,882 Visitas,2597780,eletrodomesticos,2023-04-09 23:35
25,Equipamentos de cozinha industrial,"R$ 1.500,00",https://www.superbid.net/oferta/equipamentos-de-cozinha-industrial-2709953,São Paulo - SP / São Paulo,2023-04-10,https://ms.sbwebservices.net/photos/4b5df314-5e93-48cf-b1f0-2995aa7785a7.jpg?w=295&h=190&slice=true,81 Visitas,2709953,eletrodomesticos,2023-04-09 23:35
